user_id,registration_timestamp,email_domain,age,gender,job_title,education_level,is_smoker,is_drinker,os,device_type,registration_duration_ms,is_fraud
e0adb1b0-7300-4f1c-a6c6-6d166cdfa2a6,2025-01-01T00:00:56.670990,hotmail.com,68,F,Mid-Level,High School,False,True,windows,desktop,14544.0581885822,False
8d135521-b7b3-42bf-a6c8-1a9fe078e571,2025-01-01T00:01:03.080025,gmail.com,57,F,Mid-Level,Bachelors,False,False,windows,desktop,11601.4489801144,False
82743fb3-4d4a-4ea4-a00e-92669db6bab0,2025-01-01T00:04:09.922874,hotmail.com,26,M,Mid-Level,Bachelors,False,False,ios,mobile,14883.372316035,False
78248957-662c-464c-92c6-b318ba99f6bb,2025-01-01T00:04:49.539518,gmail.com,56,F,Mid-Level,Bachelors,False,False,windows,desktop,15336.2778313188,False
f1bbc4c9-92f5-498b-9482-1e9bd02d3d8e,2025-01-01T00:04:56.149444,gmail.com,33,M,Mid-Level,,False,True,windows,desktop,15388.6682643242,False
661c5118-fe62-44bf-a718-5aee85bf7da7,2025-01-01T00:06:44.963468,gmail.com,46,F,Mid-Level,Bachelors,False,True,macos,desktop,16541.0318479334,False
b316d629-7ac8-4304-9e36-2a57454a887f,2025-01-01T00:06:58.270134,gmail.com,52,M,Junior,High School,False,False,macos,desktop,16391.7330027621,False
5c5dd6fa-cfc3-452f-8213-438999b61187,2025-01-01T00:06:58.919963,yahoo.com,65,F,Mid-Level,Bachelors,False,True,ios,mobile,14346.1785297854,False
47974744-1c60-4ef1-9564-fa6fee114da0,2025-01-01T00:08:56.350148,gmail.com,34,F,Mid-Level,Masters,False,False,ios,mobile,15210.6812763069,True
dbd487f1-ace6-4803-a96a-d4942e258a7a,2025-01-01T00:10:37.805785,yahoo.com,55,F,Mid-Level,High School,False,False,windows,desktop,12323.6734398454,False
b4a85ec6-ab27-47e8-b8ed-628994c97d25,2025-01-01T00:11:21.046727,gmail.com,31,F,CEO,High School,False,False,android,mobile,14637.9483956161,False
